Paper,year,tot_database,spatial_scope,First_Auth,sptl_two,sptl_three,lang_searched,inclusive,new_cat,initial,no_nel,no_lang,no_authors,no_auth_country,percent_english_auth_countries
Effects of artificial light on bird movement and distribution: a systematic map,2021,30,Global,Adams C.A.,1,1,1,0,1,17551,0,1,4,2,1
Evidence on the impact of Baltic Sea ecosystems on human health and well-being: a systematic map,2021,17,Multi-national,Storie J.,1,2,1,0,1,4460,0,1,10,3,0
Existing evidence on the outcomes of wildlife translocations in protected areas: a systematic map,2021,11,Global,Langridge J.,1,1,1,1,2,3398,12,2,3,1,0
Location of studies and evidence of effects of herbivory on Arctic vegetation: a systematic map,2021,129,Multi-national,Soininen E.M.,1,2,8,1,3,2902,14,5,44,13,0.295454545
Scientific evidence of sustainable plant disease protection strategies for oats in Sweden: a systematic map,2021,30,National,Vilvert E.,2,3,4,1,3,1827,3,3,5,1,0
Evidence on the impacts of chemicals arising from human activity on tropical reef-building corals; a systematic map,2021,16,Multi-national,Ouédraogo D.-Y.,1,2,1,1,2,15177,20,2,15,3,0
"What evidence exists on the effectiveness of the techniques and management approaches used to improve the productivity of field-grown tomatoes under conditions of water-, nitrogen- and/or phosphorus-deficit? A systematic map",2021,24,Global,Tran F.,1,1,1,0,1,14377,0,1,11,3,0.727272727
The nature and extent of evidence on methodologies for monitoring and evaluating marine spatial management measures in the UK and similar coastal waters: a systematic map,2021,45,National,O’Leary B.C.,2,3,1,0,1,12807,0,1,11,1,1
"How effective is ‘greening’ of urban areas in reducing human exposure to ground-level ozone concentrations, UV exposure and the ‘urban heat island effect’? An updated systematic review",2021,39,Global,Knight T.,1,1,1,1,2,4270,11,6,7,2,0.714285714
What evidence exists on the impact of specific ecosystem components and functions on infectious diseases? A systematic map,2021,20,Global,Lugassy L.,1,1,2,1,3,9723,NA,NA,16,3,0.0625
"Are small protected habitat patches within boreal production forests effective in conserving species richness, abundance and community composition? A systematic review",2021,51,Multi-national,Häkkilä M.,1,2,4,1,3,17592,12,3,7,1,0
What are the effects of even-aged and uneven-aged forest management on boreal forest biodiversity in Fennoscandia and European Russia? A systematic review,2021,86,Multi-national,Savilaakso S.,1,2,4,1,3,43621,29,4,7,1,0
Effectiveness of struvite precipitation and ammonia stripping for recovery of phosphorus and nitrogen from anaerobic digestate: a systematic review,2020,6,Global,Lorick D.,1,1,4,1,3,3809,0,1,5,1,0
How are nature-based solutions contributing to priority societal challenges surrounding human well-being in the United Kingdom: a systematic map,2020,22,National,Dick J.,2,3,2,1,3,7287,0,1,5,1,1
What evidence exists on ecotechnologies for recycling carbon and nutrients from domestic wastewater? A systematic map,2020,44,Global,Johannesdottir S.L.,1,1,4,1,3,4024,16,3,10,3,0
Evidence of the impact of noise pollution on biodiversity: A systematic map,2020,13,Global,Sordello R.,1,1,1,1,2,19545,19,2,6,1,0
The spatial distribution of illegal hunting of terrestrial mammals in Sub-Saharan Africa: A systematic map,2020,8,Multi-national,Duporge I.,1,2,1,0,1,12645,0,1,4,2,0.75
Can linear transportation infrastructure verges constitute a habitat and/or a corridor for vertebrates in temperate ecosystems? A systematic review,2020,16,Global,Ouédraogo D.-Y.,1,1,1,1,2,62940,4,2,18,1,0
What are the effects of flow-regime changes on fish productivity in temperate regions? A systematic map,2020,36,Global,Rytwinski T.,1,1,1,0,1,18231,0,1,12,2,1
What do we know about the impacts of the Marine Stewardship Council seafood ecolabelling program? A systematic map,2020,9,National,Arton A.,2,3,1,0,1,473,0,1,5,3,0.8
