year,sptl_two,no_authors,initial,no_auth_country,percent_english_auth_countries
2017,Multi-National and Greater,8.25,13818.58,1,0.48
2017,Multi-National and Greater,8.25,13818.58,2,0.48
2017,Multi-National and Greater,8.25,13818.58,3,0.48
2017,Multi-National and Greater,8.25,13818.58,4,0.48
2017,Multi-National and Greater,8.25,13818.58,5,0.48
2017,Multi-National and Greater,8.25,13818.58,6,0.48
2017,Multi-National and Greater,8.25,13818.58,7,0.48
2017,Multi-National and Greater,8.25,13818.58,8,0.48
2017,Multi-National and Greater,8.25,13818.58,9,0.48
2017,Multi-National and Greater,8.25,13818.58,10,0.48
2017,Multi-National and Greater,8.25,13818.58,11,0.48
2017,Multi-National and Greater,8.25,13818.58,12,0.48
2017,Multi-National and Greater,8.25,13818.58,13,0.48
